variant,min_dist,cost_initial,cost_optimized,improvement
Łagodny (2D),260,-188.09625612663953,-232.3155575954536,-23.508868480105505
Typowy (3D),390,-188.09625612663953,-233.72331426673207,-24.25729202678719
Twardy (4D),520,-188.09625612663953,-234.19705831052744,-24.509154585644506
